id,xcoord,ycoord
1,6.224837353,46.72048078
2,6.255071906,46.73883748
3,6.298264125,46.74963553
4,6.286386265,46.78634892
5,6.319860234,46.81982289
6,6.349014981,46.85869588
7,6.359813036,46.89540927
8,6.342536148,46.9418409
9,6.478591636,47.01202826
10,6.64164226,47.05414067
11,6.73666514,47.10705114
12,6.830608215,47.15564238
13,6.91267343,47.22151052
14,6.94830701,47.27118157
15,7.06708561,47.30141612
16,7.144831603,47.35864581
17,7.037930863,47.34352853
18,6.935349344,47.33489009
19,6.833847631,47.32193242
20,6.753942027,47.31545359
21,6.745303584,47.34244873
22,6.769059304,47.3759227
23,6.774458331,47.42451394
24,6.704270976,47.44611005
25,6.526103076,47.39859861
26,6.252912295,47.30033631
27,6.122255835,47.26578254
28,6.033711788,47.23662779
29,5.927890853,47.18911635
30,5.82638914,47.13512608
